,0,1,2,3,4
218,"""Burrito Boyz""","""Sushi One""","""Grand Lux Cafe""","""Electric Mud BBQ""","""The Shore Club - Toronto"""
219,"""Sidecar""","""Fat Heads Brewery and Saloon""","""Deagan's Kitchen & Bar""","""Frost Gelato""","""Lucky's Café"""
220,"""Island Sushi & Grill""","""Lucky's Café""","""Javier's""","""Pisces Sushi Bar & Lounge""","""Mi Peru South American Grill"""
221,"""Craft 64""","""The Herb Box""","""Liberty Market""","""FnB""","""Presti's Bakery"""
222,"""Postino Arcadia""","""Yupha's Thai Kitchen""","""Kaiju""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza"""
223,"""Thai Dressing Fine Thai Cuisine""","""Musashi Japanese Steakhouse""","""Raising Cane's""","""Due Forni""","""Paymon's Mediterranean Cafe & Lounge"""
224,"""Archi's Thai Cafe""","""Trattoria Reggiano""","""The Hummus Factory""","""Yummy Grill & Sushi""","""Other Mama"""
225,"""Deagan's Kitchen & Bar""","""MOD Pizza""","""Blue Adobe Grille""","""Kaiju""","""Yupha's Thai Kitchen"""
226,"""Butterfield's Pancake House""","""Postino Arcadia""","""Kai""","""Blaze Fast-Fire'd Pizza""","""Soho Japanese Restaurant"""
227,"""Stacks & Yolks""","""Sinatra""","""L'Atelier de Joël Robuchon""","""Firefly""","""Hobak Korean BBQ"""
228,"""Nota Bene""","""Barrio Queen""","""The Herb Box""","""Thai Elephant""","""Blaze Fast-Fire'd Pizza"""
229,"""Fat Heads Brewery and Saloon""","""Naked Fish's Sushi & Grill""","""Cactus Club Cafe""","""Eiffel Tower""","""Lucky's Café"""
230,"""DW Bistro""","""Kona Grill""","""Liberty Market""","""Barrio""","""Presti's Bakery"""
231,"""Chompie's Deli""","""Pa Pa Chang's""","""Asi Es Mi Tierra""","""Blaze Fast-Fire'd Pizza""","""Figo"""
232,"""Yummy Grill & Sushi""","""Butterfield's Pancake House""","""Other Mama""","""The Barrymore""","""Archi's Thai Cafe"""
233,"""Other Mama""","""DW Bistro""","""Fukuburger Truck""","""Chile Addiction""","""Soho Japanese Restaurant"""
234,"""BLT Burger""","""BARDOT Brasserie""","""Ike's Love & Sandwiches""","""Bannock""","""Fat Heads Brewery and Saloon"""
235,"""Soho Japanese Restaurant""","""Living Kitchen""","""Umiya Sushi""","""131 Main""","""Red Rocks Cafe"""
236,"""Benihana""","""Due Forni""","""Thai Elephant""","""Musashi Japanese Steakhouse""","""Tommy V's Urban Kitchen & Bar"""
237,"""BARDOT Brasserie""","""Enoteca San Marco""","""Graze""","""Dumpling House Restaurant""","""Postino Arcadia"""
238,"""Naked Fish's Sushi & Grill""","""Postino Arcadia""","""Broadway Pizzeria""","""Raising Cane's""","""Cibo"""
239,"""Bobby's Burger Palace""","""Eiffel Tower""","""DW Bistro""","""Hobak Korean BBQ""","""Lahore Tikka House"""
240,"""Chicago Gyros""","""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Ocotillo""","""Craft 64"""
241,"""Presti's Bakery""","""Grand Lux Cafe""","""Sushi Kaji Restaurant""","""Angelo's Pizza""","""N9NE Steakhouse"""
242,"""Chilli Chicken House""","""Joe's Midnight Run""","""Postino Arcadia""","""Other Mama""","""Sonora Mesquite Grill"""
243,"""Hoosier Cafe""","""Chompie's Deli""","""L'Atelier de Joël Robuchon""","""Tommy's Restaurant""","""Soho Japanese Restaurant"""
244,"""Grand Lux Cafe""","""Barrio""","""Island Sushi & Grill""","""Postino Arcadia""","""DW Bistro"""
245,"""Petite Maison""","""Tommy's Restaurant""","""Soho Japanese Restaurant""","""Blaze Fast-Fire'd Pizza""","""Dumpling House Restaurant"""
246,"""Postino Arcadia""","""Makai Pacific Island Grill""","""Butterfield's Pancake House""","""Other Mama""","""Fukuburger Truck"""
247,"""Chilli Chicken House""","""Joyride Taco House""","""Angelo's Pizza""","""Black Cat Coffee House""","""The Herb Box"""
248,"""The County General""","""DW Bistro""","""Carmen""","""Poke Guys""","""Postino Arcadia"""
249,"""Butterfield's Pancake House""","""Futo Buta""","""Archi's Thai Cafe""","""Lucky's Café""","""The Barrymore"""
250,"""Sonora Mesquite Grill""","""Cibo""","""Fat Heads Brewery and Saloon""","""DW Bistro""","""Barrio"""
251,"""Altius""","""Eiffel Tower""","""Naked Fish's Sushi & Grill""","""Los Tacos""","""Cibo"""
252,"""Angelo's Pizza""","""Yupha's Thai Kitchen""","""Burrito Boyz""","""Soho Japanese Restaurant""","""Spago by Wolfgang Puck"""
253,"""Poke Guys""","""Cibo""","""Eiffel Tower""","""Kaiju""","""DW Bistro"""
254,"""Kai""","""Ni Ji Sushi""","""Orange Sky""","""Pita Jungle""","""Guy Fieri's Vegas Kitchen & Bar"""
255,"""Blaze Fast-Fire'd Pizza""","""Liberty Market""","""Lucky's Café""","""Bannock""","""Cartel Coffee Lab"""
256,"""Frost Gelato""","""Salad King Restaurant""","""L'Atelier de Joël Robuchon""","""Guy Savoy""","""Monty's Blue Plate Diner"""
257,"""Blaze Fast-Fire'd Pizza""","""Dynasty Chinese Cuisine""","""Nobuo At Teeter House""","""The Carbon Bar""","""Izakaya Go"""
258,"""Naked Fish's Sushi & Grill""","""Boba Hut""","""Big Dog's Draft House""","""Hobak Korean BBQ""","""Firefly"""
259,"""Ahipoki Bowl""","""Ocotillo""","""Adamson Barbecue""","""BARDOT Brasserie""","""Grand Lux Cafe"""
260,"""Due Forni""","""Fukuburger Truck""","""L'Atelier de Joël Robuchon""","""Guy Savoy""","""Other Mama"""
261,"""Lola Coffee""","""Miracle Mile Delicatessen""","""The Upton""","""Blaze Fast-Fire'd Pizza""","""Fat Ox"""
262,"""Bragg's Factory Diner""","""Fat Heads Brewery and Saloon""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza""","""Adamson Barbecue"""
263,"""Deagan's Kitchen & Bar""","""Maker Pizza""","""Burrito Boyz""","""Cactus Club Cafe""","""Lucky's Café"""
264,"""Cibo""","""Sushi Kaji Restaurant""","""Guy Savoy""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia"""
265,"""Tori's Bakeshop""","""Dumpling House Restaurant""","""Petite Maison""","""Earl Of Sandwich""","""Pita Jungle"""
266,"""Sidecar""","""Fat Heads Brewery and Saloon""","""Bannock""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
267,"""DW Bistro""","""Barrio""","""Futo Buta""","""Firefly""","""Cibo"""
268,"""The Habit Burger Grill""","""Postino Arcadia""","""Barrio""","""Richardson's""","""FnB"""
269,"""Adamson Barbecue""","""Susie's Mexican Cafe""","""Salt Cellar""","""Yama Sushi""","""Blaze Fast-Fire'd Pizza"""
270,"""Presti's Bakery""","""Zeke's Coffee""","""Lucky's Café""","""Island Sushi & Grill""","""Barrio"""
271,"""Butterfield's Pancake House""","""Ocotillo""","""Kai""","""Postino Arcadia""","""Blaze Fast-Fire'd Pizza"""
272,"""Ike's Love & Sandwiches""","""Cactus Club Cafe""","""Los Tacos""","""AMC Dine-in Theatres Esplanade 14""","""The Herb Box"""
273,"""Nota Bene""","""Ahipoki Bowl""","""Cibo""","""L'Atelier de Joël Robuchon""","""Sidecar"""
274,"""The One That Got Away""","""Dumpling House Restaurant""","""FnB""","""Blaze Fast-Fire'd Pizza""","""Adamson Barbecue"""
275,"""Ocotillo""","""Other Mama""","""Butterfield's Pancake House""","""Tacos & Beer""","""Grand Lux Cafe"""
276,"""Blaze Fast-Fire'd Pizza""","""FnB""","""Ike's Love & Sandwiches""","""Fat Heads Brewery and Saloon""","""Petite Maison"""
277,"""FnB""","""Ike's Love & Sandwiches""","""Blaze Fast-Fire'd Pizza""","""Barrio""","""Adamson Barbecue"""
278,"""Fat Heads Brewery and Saloon""","""DW Bistro""","""The Barrymore""","""Lucky's Café""","""Bannock"""
279,"""Chompie's Deli""","""Yummy Grill & Sushi""","""AMC Dine-in Theatres Esplanade 14""","""Grumman78""","""Soho Japanese Restaurant"""
280,"""Le Robin Square""","""Liberty Market""","""Postino Arcadia""","""Yanni's Gyros""","""Island Sushi & Grill"""
281,"""Kaiju""","""Grand Lux Cafe""","""The Shore Club - Toronto""","""Poke Guys""","""Island Sushi & Grill"""
282,"""Soho Japanese Restaurant""","""Angelo's Pizza""","""Umiya Sushi""","""Nota Bene""","""Naked Fish's Sushi & Grill"""
283,"""Guy Fieri's Vegas Kitchen & Bar""","""Yupha's Thai Kitchen""","""Spago by Wolfgang Puck""","""Angelo's Pizza""","""Burrito Boyz"""
284,"""Gyu-Kaku Japanese BBQ""","""Soho Japanese Restaurant""","""AMC Dine-in Theatres Esplanade 14""","""Iruna""","""The Herb Box"""
285,"""Aloha Kitchen & Bar""","""Ahipoki Bowl""","""DW Bistro""","""Joyride Taco House""","""Eiffel Tower"""
286,"""Sushi Kaji Restaurant""","""Burrito Boyz""","""Chompie's Deli""","""Angelo's Pizza""","""Yupha's Thai Kitchen"""
287,"""Butterfield's Pancake House""","""Liberty Market""","""Izakaya Go""","""Gyu-Kaku Japanese BBQ""","""Hobak Korean BBQ"""
288,"""Lola Coffee""","""Viet Bistro""","""Frost Gelato""","""Liberty Market""","""Ahipoki Bowl"""
289,"""Makai Pacific Island Grill""","""Poke Guys""","""Ventano Italian Grill & Seafood""","""Raising Cane's""","""Omelet House"""
290,"""Cactus Club Cafe""","""Lucky's Café""","""Kaiju""","""Kai""","""Butterfield's Pancake House"""
291,"""Ahipoki Bowl""","""Poke Guys""","""Adamson Barbecue""","""Ike's Love & Sandwiches""","""Guy Fieri's Vegas Kitchen & Bar"""
292,"""Sorso Wine Room""","""Tacos & Beer""","""Original ChopShop""","""Musashi Japanese Steakhouse""","""Butterfield's Pancake House"""
293,"""Le Robin Square""","""Charleston's""","""The Shore Club - Toronto""","""Bannock""","""Blaze Fast-Fire'd Pizza"""
294,"""Original ChopShop""","""Cartel Coffee Lab""","""BARDOT Brasserie""","""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza"""
295,"""Guy Fieri's Vegas Kitchen & Bar""","""Maxim Restaurant""","""Burrito Boyz""","""Postrio""","""Yupha's Thai Kitchen"""
296,"""Saddlecreek Coffee""","""The Keg Steakhouse + Bar""","""Blaze Fast-Fire'd Pizza""","""Adamson Barbecue""","""Dumpling House Restaurant"""
297,"""Pa Pa Chang's""","""Los Tacos""","""Blaze Fast-Fire'd Pizza""","""Rolling in Dough Cafe""","""Hobak Korean BBQ"""
298,"""School Restaurant""","""Pita Jungle""","""Liberty Market""","""Angelo's Pizza""","""Lucky's Café"""
299,"""Burrito Boyz""","""Urban Turban""","""Angelo's Pizza""","""Ni Ji Sushi""","""Yupha's Thai Kitchen"""
300,"""Yupha's Thai Kitchen""","""Barrio""","""Chompie's Deli""","""Island Sushi & Grill""","""Guy Fieri's Vegas Kitchen & Bar"""
301,"""Pastel Creperies & Dessert House""","""Pa Pa Chang's""","""Beckett's Table""","""Blaze Fast-Fire'd Pizza""","""Cibo"""
302,"""N9NE Steakhouse""","""Chilli Chicken House""","""Guy Savoy""","""Chang's Hong Kong Cuisine""","""L'Atelier de Joël Robuchon"""
303,"""Due Forni""","""Soho Japanese Restaurant""","""Gyu-Kaku Japanese BBQ""","""Blaze Fast-Fire'd Pizza""","""Kaleidoscope Juice"""
304,"""Shangri-La Hotel""","""Firefly""","""Other Mama""","""Naked Fish's Sushi & Grill""","""Hobak Korean BBQ"""
305,"""Deagan's Kitchen & Bar""","""AMC Dine-in Theatres Esplanade 14""","""Blaze Fast-Fire'd Pizza""","""Blue Adobe Grille""","""Kaiju"""
306,"""DW Bistro""","""Umiya Sushi""","""Due Forni""","""Joyride Taco House""","""Barrio"""
307,"""Presti's Bakery""","""Snug Harbour Seafood Bar and Grill""","""Island Sushi & Grill""","""Lucky's Café""","""Barrio"""
308,"""The Herb Box""","""Miracle Mile Delicatessen""","""Cibo""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia"""
309,"""The Barrymore""","""Blaze Fast-Fire'd Pizza""","""Lucky's Café""","""Butterfield's Pancake House""","""Postino Arcadia"""
310,"""Nota Bene""","""China Magic Noodle House""","""Izakaya Go""","""Umiya Sushi""","""Soho Japanese Restaurant"""
311,"""Chicago Gyros""","""Sushi Kaji Restaurant""","""Yupha's Thai Kitchen""","""Chompie's Deli""","""Grand Lux Cafe"""
312,"""BARDOT Brasserie""","""L'Atelier de Joël Robuchon""","""Guy Savoy""","""Other Mama""","""Lola's A Louisiana Kitchen"""
313,"""FIKA""","""DW Bistro""","""Firefly""","""Chicago Gyros""","""The Barrymore"""
314,"""Z'Tejas""","""Lola's A Louisiana Kitchen""","""Blaze Fast-Fire'd Pizza""","""Andre's""","""BARDOT Brasserie"""
315,"""Au Pain Doré""","""Pita Jungle""","""School Restaurant""","""Salt Cellar""","""Liberty Market"""
316,"""Kaiju""","""Eiffel Tower""","""Firefly""","""Adamson Barbecue""","""Naked Fish's Sushi & Grill"""
317,"""Frost Gelato""","""Cactus Club Cafe""","""Spago by Wolfgang Puck""","""Lucky's Café""","""Chon Thai Food"""
318,"""Kona Grill""","""Chompie's Deli""","""DW Bistro""","""Presti's Bakery""","""Barrio"""
319,"""Adamson Barbecue""","""Poke Guys""","""Kaiju""","""Sunrise House""","""Blaze Fast-Fire'd Pizza"""
320,"""Sidecar""","""Sushi Kaji Restaurant""","""Pizza Brutta""","""N9NE Steakhouse""","""Cheba Hut"""
321,"""Taqueria Mi Casita""","""Liberty Market""","""China Magic Noodle House""","""Joyride Taco House""","""Ahipoki Bowl"""
322,"""Adamson Barbecue""","""Chicago Gyros""","""Ocotillo""","""Firefly""","""Craft 64"""
323,"""Firefly""","""Craft 64""","""Grand Lux Cafe""","""Makai Pacific Island Grill""","""Adamson Barbecue"""
324,"""Bragg's Factory Diner""","""Cartel Coffee Lab""","""Thai Elephant""","""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza"""
325,"""BLT Burger""","""Frost Gelato""","""Eiffel Tower""","""Lucky's Café""","""Fat Heads Brewery and Saloon"""
326,"""Ocotillo""","""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Butterfield's Pancake House""","""Kaiju"""
327,"""Adamson Barbecue""","""Angelo's Pizza""","""DW Bistro""","""Benny Pennello's""","""Nobuo At Teeter House"""
328,"""Butterfield's Pancake House""","""Blaze Fast-Fire'd Pizza""","""Sunrise House""","""Yummy Grill & Sushi""","""Postino Arcadia"""
329,"""Le Robin Square""","""Blaze Fast-Fire'd Pizza""","""Bannock""","""Cactus Club Cafe""","""School Restaurant"""
330,"""Downtown Terrace""","""Liberty Market""","""Joe Beef""","""Irma's Kitchen""","""Hobak Korean BBQ"""
331,"""Icy Juicy""","""Kaiju""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Le Robin Square"""
332,"""Kai""","""Bobby's Burger Palace""","""La Tolteca Mexican Foods""","""Bragg's Factory Diner""","""Adamson Barbecue"""
333,"""Salt Cellar""","""Lola Coffee""","""The Upton""","""The Herb Box""","""Miracle Mile Delicatessen"""
334,"""Boba Hut""","""Toqué""","""Island Sushi & Grill""","""Le Robin Square""","""Umiya Sushi"""
335,"""Midi Bistro""","""Moishe's Steakhouse""","""Futo Buta""","""Butterfield's Pancake House""","""Yummy Grill & Sushi"""
336,"""Tacos & Beer""","""Other Mama""","""Yummy Grill & Sushi""","""Butterfield's Pancake House""","""Postino Arcadia"""
337,"""Island Sushi & Grill""","""Hobak Korean BBQ""","""Postino Arcadia""","""Cibo""","""Irma's Kitchen"""
338,"""Cactus Club Cafe""","""Burrito Boyz""","""Poke Guys""","""Kaiju""","""Yupha's Thai Kitchen"""
339,"""Postino Arcadia""","""Sunrise House""","""Blaze Fast-Fire'd Pizza""","""Le Robin Square""","""Island Sushi & Grill"""
340,"""El Molino Mexican Cafe""","""Frost Gelato""","""Liberty Market""","""Musashi Japanese Steakhouse""","""Cibo"""
341,"""Grand Lux Cafe""","""N9NE Steakhouse""","""Postino Arcadia""","""Angelo's Pizza""","""Sushi Kaji Restaurant"""
342,"""Cactus Club Cafe""","""Tommy's Restaurant""","""Guy Fieri's Vegas Kitchen & Bar""","""Chompie's Deli""","""Burrito Boyz"""
343,"""Dumpling House Restaurant""","""Cibo""","""Nee House Chinese Restaurant""","""The Fry Bread House""","""China Magic Noodle House"""
344,"""Cibo""","""Pita Jungle""","""FnB""","""La Tolteca Mexican Foods""","""Postino Arcadia"""
345,"""Joe's Midnight Run""","""Butterfield's Pancake House""","""Irma's Kitchen""","""Barrio""","""Postino Arcadia"""
346,"""Restaurant Chantecler""","""Spago by Wolfgang Puck""","""Izakaya Go""","""Cafe Breizh""","""Lola Coffee"""
347,"""Hugo's Cellar""","""Guy Savoy""","""Fukuburger Truck""","""L'Atelier de Joël Robuchon""","""Other Mama"""
348,"""The Herb Box""","""Cartel Coffee Lab""","""Blaze Fast-Fire'd Pizza""","""Nobuo At Teeter House""","""Cafe Breizh"""
349,"""The Oyster Bar""","""Le Robin Square""","""Butterfield's Pancake House""","""Omelet House""","""Hobak Korean BBQ"""
350,"""Dumpling House Restaurant""","""Firefly""","""Kaiju""","""Burrito Boyz""","""BARDOT Brasserie"""
351,"""Other Mama""","""Moishe's Steakhouse""","""Archi's Thai Cafe""","""Butterfield's Pancake House""","""Yummy Grill & Sushi"""
352,"""Broadway Pizzeria""","""Hobak Korean BBQ""","""Frost Gelato""","""Crown & Anchor British Pub""","""Viet Bistro"""
353,"""L'Atelier de Joël Robuchon""","""Rolling in Dough Cafe""","""Garage Wine and Tap""","""Hobak Korean BBQ""","""Spago by Wolfgang Puck"""
354,"""Deagan's Kitchen & Bar""","""Dumpling House Restaurant""","""Petite Maison""","""Blaze Fast-Fire'd Pizza""","""Bomberos Cafe & Wine Bar"""
355,"""Naked Fish's Sushi & Grill""","""Tommy's Restaurant""","""Eiffel Tower""","""Adamson Barbecue""","""Mert's Heart & Soul"""
356,"""Chon Thai Food""","""Island Sushi & Grill""","""Deagan's Kitchen & Bar""","""Mert's Heart & Soul""","""Lucky's Café"""
357,"""Craft 64""","""Umiya Sushi""","""Thai Elephant""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza"""
358,"""Cartel Coffee Lab""","""Nobuo At Teeter House""","""Miracle Mile Delicatessen""","""Lola Coffee""","""The Herb Box"""
359,"""Burrito Boyz""","""Dumpling House Restaurant""","""The Fry Bread House""","""Chon Thai Food""","""Lucky's Café"""
360,"""131 Main""","""Living Kitchen""","""Makai Pacific Island Grill""","""N9NE Steakhouse""","""Angelo's Pizza"""
361,"""Makai Pacific Island Grill""","""DW Bistro""","""Grand Lux Cafe""","""Raising Cane's""","""Uni Sushi & Steak"""
362,"""The Herb Box""","""Cafe Breizh""","""Rolling in Dough Cafe""","""Soho Japanese Restaurant""","""Blaze Fast-Fire'd Pizza"""
363,"""Andre's""","""Omelet House""","""Boba Hut""","""DW Bistro""","""In-N-Out Burger"""
364,"""KINKA IZAKAYA MONTREAL""","""Angelo's Pizza""","""Barrio""","""Lucky's Café""","""Postino Arcadia"""
365,"""Raising Cane's""","""DW Bistro""","""Lucky's Café""","""Grand Lux Cafe""","""Makai Pacific Island Grill"""
366,"""Le Robin Square""","""Poke Guys""","""Umiya Sushi""","""Postino Arcadia""","""Sunrise House"""
367,"""The Melting Pot-  Scottsdale""","""Dumpling House Restaurant""","""Jaipur Junction""","""N9NE Steakhouse""","""Angelo's Pizza"""
368,"""Cafe Breizh""","""Paymon's Mediterranean Cafe & Lounge""","""Hobak Korean BBQ""","""Barrio Queen""","""Oregano's Pizza Bistro"""
369,"""Foundation Room""","""Big Buddha""","""Hobak Korean BBQ""","""Cibo""","""Frost Gelato"""
370,"""Fat Heads Brewery and Saloon""","""Eiffel Tower""","""Deagan's Kitchen & Bar""","""Chon Thai Food""","""Lucky's Café"""
371,"""Kaiju""","""The Barrymore""","""Craft Tasting Room & Growler Shop""","""Angelo's Pizza""","""Futo Buta"""
372,"""The Barrymore""","""Omelet House""","""Tommy's Restaurant""","""Soho Japanese Restaurant""","""Makai Pacific Island Grill"""
373,"""Angelo's Pizza""","""Blaze Fast-Fire'd Pizza""","""Nobuo At Teeter House""","""Postino Arcadia""","""Sushi Kaji Restaurant"""
374,"""Presti's Bakery""","""Liberty Market""","""Cibo""","""Kaiju""","""Le Robin Square"""
375,"""Pino's Pizza Al Centro""","""Adamson Barbecue""","""Mazz Sushi""","""M&M Soul Food Cafe""","""Joe Beef"""
376,"""Lucky's Café""","""OHSO Brewery - Paradise Valley""","""Oregano's Pizza Bistro""","""Kona Grill""","""Liberty Market"""
377,"""Los Tacos""","""FnB""","""Cibo""","""Barrio""","""DW Bistro"""
378,"""Le Robin Square""","""Tommy's Restaurant""","""Altius""","""Mert's Heart & Soul""","""Naked Fish's Sushi & Grill"""
379,"""Naked Fish's Sushi & Grill""","""Izakaya Go""","""Salad King Restaurant""","""Firefly""","""Paina Cafe"""
380,"""Naked Fish's Sushi & Grill""","""Deagan's Kitchen & Bar""","""Sausalido""","""Firefly""","""Fat Heads Brewery and Saloon"""
381,"""Foosia""","""Cartel Coffee Lab""","""Poke Eats""","""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza"""
382,"""The Emerson""","""Sidecar""","""Graze""","""Kodo Sushi Sake""","""BARDOT Brasserie"""
383,"""La Casa De Juana""","""Guy Savoy""","""Dumpling House Restaurant""","""Petite Maison""","""Salad King Restaurant"""
384,"""Craft 64""","""Barrio""","""Blaze Fast-Fire'd Pizza""","""Island Sushi & Grill""","""BARDOT Brasserie"""
385,"""Adamson Barbecue""","""Dumpling House Restaurant""","""The Greeks Grill""","""Firefly""","""BARDOT Brasserie"""
